Gemeentecode;Gemeentenaam;Provinciecode;Provincienaam
0003;Appingedam;20;Groningen
0005;Bedum;20;Groningen
0007;Bellingwedde;20;Groningen
0009;Ten Boer;20;Groningen
0010;Delfzijl;20;Groningen
1651;Eemsmond;20;Groningen
0014;Groningen;20;Groningen
0015;Grootegast;20;Groningen
0017;Haren;20;Groningen
0018;Hoogezand-Sappemeer;20;Groningen
0022;Leek;20;Groningen
0024;Loppersum;20;Groningen
1663;De Marne;20;Groningen
0025;Marum;20;Groningen
1987;Menterwolde;20;Groningen
1895;Oldambt;20;Groningen
0765;Pekela;20;Groningen
0040;Slochteren;20;Groningen
0037;Stadskanaal;20;Groningen
0047;Veendam;20;Groningen
0048;Vlagtwedde;20;Groningen
0053;Winsum;20;Groningen
0056;Zuidhorn;20;Groningen
0059;Achtkarspelen;21;Friesland
0060;Ameland;21;Friesland
0063;het Bildt;21;Friesland
1891;Dantumadiel;21;Friesland
0058;Dongeradeel;21;Friesland
1722;Ferwerderadiel;21;Friesland
0070;Franekeradeel;21;Friesland
1921;De Friese Meren;21;Friesland
0072;Harlingen;21;Friesland
0074;Heerenveen;21;Friesland
0079;Kollumerland en Nieuwkruisland;21;Friesland
0080;Leeuwarden;21;Friesland
0081;Leeuwarderadeel;21;Friesland
0140;Littenseradiel;21;Friesland
1908;Menameradiel;21;Friesland
0085;Ooststellingwerf;21;Friesland
0086;Opsterland;21;Friesland
0088;Schiermonnikoog;21;Friesland
0090;Smallingerland;21;Friesland
1900;Súdwest-Fryslân;21;Friesland
0093;Terschelling;21;Friesland
0737;Tytsjerksteradiel;21;Friesland
0096;Vlieland;21;Friesland
0098;Weststellingwerf;21;Friesland
1680;Aa en Hunze;22;Drenthe
0106;Assen;22;Drenthe
1681;Borger-Odoorn;22;Drenthe
0109;Coevorden;22;Drenthe
0114;Emmen;22;Drenthe
0118;Hoogeveen;22;Drenthe
0119;Meppel;22;Drenthe
1731;Midden-Drenthe;22;Drenthe
1699;Noordenveld;22;Drenthe
1730;Tynaarlo;22;Drenthe
1701;Westerveld;22;Drenthe
1690;De Wolden;22;Drenthe
0141;Almelo;23;Overijssel
0147;Borne;23;Overijssel
0148;Dalfsen;23;Overijssel
0150;Deventer;23;Overijssel
1774;Dinkelland;23;Overijssel
0153;Enschede;23;Overijssel
0158;Haaksbergen;23;Overijssel
0160;Hardenberg;23;Overijssel
0163;Hellendoorn;23;Overijssel
0164;Hengelo;23;Overijssel
1735;Hof van Twente;23;Overijssel
0166;Kampen;23;Overijssel
0168;Losser;23;Overijssel
0173;Oldenzaal;23;Overijssel
1773;Olst-Wijhe;23;Overijssel
0175;Ommen;23;Overijssel
0177;Raalte;23;Overijssel
1742;Rijssen-Holten;23;Overijssel
0180;Staphorst;23;Overijssel
1708;Steenwijkerland;23;Overijssel
0183;Tubbergen;23;Overijssel
1700;Twenterand;23;Overijssel
0189;Wierden;23;Overijssel
1896;Zwartewaterland;23;Overijssel
0193;Zwolle;23;Overijssel
0034;Almere;24;Flevoland
0303;Dronten;24;Flevoland
0995;Lelystad;24;Flevoland
0171;Noordoostpolder;24;Flevoland
0184;Urk;24;Flevoland
0050;Zeewolde;24;Flevoland
0197;Aalten;25;Gelderland
0200;Apeldoorn;25;Gelderland
0202;Arnhem;25;Gelderland
0203;Barneveld;25;Gelderland
1859;Berkelland;25;Gelderland
0209;Beuningen;25;Gelderland
1876;Bronckhorst;25;Gelderland
0213;Brummen;25;Gelderland
0214;Buren;25;Gelderland
0216;Culemborg;25;Gelderland
0221;Doesburg;25;Gelderland
0222;Doetinchem;25;Gelderland
0225;Druten;25;Gelderland
0226;Duiven;25;Gelderland
0228;Ede;25;Gelderland
0230;Elburg;25;Gelderland
0232;Epe;25;Gelderland
0233;Ermelo;25;Gelderland
0236;Geldermalsen;25;Gelderland
0241;Groesbeek;25;Gelderland
0243;Harderwijk;25;Gelderland
0244;Hattem;25;Gelderland
0246;Heerde;25;Gelderland
0252;Heumen;25;Gelderland
0733;Lingewaal;25;Gelderland
1705;Lingewaard;25;Gelderland
0262;Lochem;25;Gelderland
0263;Maasdriel;25;Gelderland
1955;Montferland;25;Gelderland
1740;Neder-Betuwe;25;Gelderland
0304;Neerijnen;25;Gelderland
0267;Nijkerk;25;Gelderland
0268;Nijmegen;25;Gelderland
0302;Nunspeet;25;Gelderland
0269;Oldebroek;25;Gelderland
1586;Oost Gelre;25;Gelderland
1509;Oude IJsselstreek;25;Gelderland
1734;Overbetuwe;25;Gelderland
0273;Putten;25;Gelderland
0274;Renkum;25;Gelderland
0275;Rheden;25;Gelderland
0196;Rijnwaarden;25;Gelderland
0277;Rozendaal;25;Gelderland
0279;Scherpenzeel;25;Gelderland
0281;Tiel;25;Gelderland
0285;Voorst;25;Gelderland
0289;Wageningen;25;Gelderland
0668;West Maas en Waal;25;Gelderland
0293;Westervoort;25;Gelderland
0296;Wijchen;25;Gelderland
0294;Winterswijk;25;Gelderland
0297;Zaltbommel;25;Gelderland
0299;Zevenaar;25;Gelderland
0301;Zutphen;25;Gelderland
0307;Amersfoort;26;Utrecht
0308;Baarn;26;Utrecht
0310;De Bilt;26;Utrecht
0312;Bunnik;26;Utrecht
0313;Bunschoten;26;Utrecht
0317;Eemnes;26;Utrecht
0321;Houten;26;Utrecht
0353;IJsselstein;26;Utrecht
0327;Leusden;26;Utrecht
0331;Lopik;26;Utrecht
0335;Montfoort;26;Utrecht
0356;Nieuwegein;26;Utrecht
0589;Oudewater;26;Utrecht
0339;Renswoude;26;Utrecht
0340;Rhenen;26;Utrecht
0736;De Ronde Venen;26;Utrecht
0342;Soest;26;Utrecht
1904;Stichtse Vecht;26;Utrecht
0344;Utrecht;26;Utrecht
1581;Utrechtse Heuvelrug;26;Utrecht
0345;Veenendaal;26;Utrecht
0620;Vianen;26;Utrecht
0352;Wijk bij Duurstede;26;Utrecht
0632;Woerden;26;Utrecht
0351;Woudenberg;26;Utrecht
0355;Zeist;26;Utrecht
0358;Aalsmeer;27;Noord-Holland
0361;Alkmaar;27;Noord-Holland
0362;Amstelveen;27;Noord-Holland
0363;Amsterdam;27;Noord-Holland
0370;Beemster;27;Noord-Holland
0373;Bergen (NH.);27;Noord-Holland
0375;Beverwijk;27;Noord-Holland
0376;Blaricum;27;Noord-Holland
0377;Bloemendaal;27;Noord-Holland
0381;Bussum;27;Noord-Holland
0383;Castricum;27;Noord-Holland
0384;Diemen;27;Noord-Holland
0498;Drechterland;27;Noord-Holland
0385;Edam-Volendam;27;Noord-Holland
0388;Enkhuizen;27;Noord-Holland
0392;Haarlem;27;Noord-Holland
0393;Haarlemmerliede en Spaarnwoude;27;Noord-Holland
0394;Haarlemmermeer;27;Noord-Holland
0396;Heemskerk;27;Noord-Holland
0397;Heemstede;27;Noord-Holland
0398;Heerhugowaard;27;Noord-Holland
0399;Heiloo;27;Noord-Holland
0400;Den Helder;27;Noord-Holland
0402;Hilversum;27;Noord-Holland
1911;Hollands Kroon;27;Noord-Holland
0405;Hoorn;27;Noord-Holland
0406;Huizen;27;Noord-Holland
1598;Koggenland;27;Noord-Holland
0415;Landsmeer;27;Noord-Holland
0416;Langedijk;27;Noord-Holland
0417;Laren;27;Noord-Holland
0420;Medemblik;27;Noord-Holland
0424;Muiden;27;Noord-Holland
0425;Naarden;27;Noord-Holland
0431;Oostzaan;27;Noord-Holland
0432;Opmeer;27;Noord-Holland
0437;Ouder-Amstel;27;Noord-Holland
0439;Purmerend;27;Noord-Holland
0441;Schagen;27;Noord-Holland
0532;Stede Broec;27;Noord-Holland
0448;Texel;27;Noord-Holland
0450;Uitgeest;27;Noord-Holland
0451;Uithoorn;27;Noord-Holland
0453;Velsen;27;Noord-Holland
0852;Waterland;27;Noord-Holland
0457;Weesp;27;Noord-Holland
1696;Wijdemeren;27;Noord-Holland
0880;Wormerland;27;Noord-Holland
0479;Zaanstad;27;Noord-Holland
0473;Zandvoort;27;Noord-Holland
0478;Zeevang;27;Noord-Holland
0482;Alblasserdam;28;Zuid-Holland
0613;Albrandswaard;28;Zuid-Holland
0484;Alphen aan den Rijn;28;Zuid-Holland
0489;Barendrecht;28;Zuid-Holland
0585;Binnenmaas;28;Zuid-Holland
1901;Bodegraven-Reeuwijk;28;Zuid-Holland
0501;Brielle;28;Zuid-Holland
0502;Capelle aan den IJssel;28;Zuid-Holland
0611;Cromstrijen;28;Zuid-Holland
0503;Delft;28;Zuid-Holland
0505;Dordrecht;28;Zuid-Holland
0689;Giessenlanden;28;Zuid-Holland
1924;Goeree-Overflakkee;28;Zuid-Holland
0512;Gorinchem;28;Zuid-Holland
0513;Gouda;28;Zuid-Holland
0518;'s-Gravenhage;28;Zuid-Holland
0523;Hardinxveld-Giessendam;28;Zuid-Holland
0530;Hellevoetsluis;28;Zuid-Holland
0531;Hendrik-Ido-Ambacht;28;Zuid-Holland
0534;Hillegom;28;Zuid-Holland
1884;Kaag en Braassem;28;Zuid-Holland
0537;Katwijk;28;Zuid-Holland
0588;Korendijk;28;Zuid-Holland
0542;Krimpen aan den IJssel;28;Zuid-Holland
1931;Krimpenerwaard;28;Zuid-Holland
1621;Lansingerland;28;Zuid-Holland
0545;Leerdam;28;Zuid-Holland
0546;Leiden;28;Zuid-Holland
0547;Leiderdorp;28;Zuid-Holland
1916;Leidschendam-Voorburg;28;Zuid-Holland
0553;Lisse;28;Zuid-Holland
0556;Maassluis;28;Zuid-Holland
1842;Midden-Delfland;28;Zuid-Holland
1927;Molenwaard;28;Zuid-Holland
0569;Nieuwkoop;28;Zuid-Holland
1930;Nissewaard;28;Zuid-Holland
0575;Noordwijk;28;Zuid-Holland
0576;Noordwijkerhout;28;Zuid-Holland
0579;Oegstgeest;28;Zuid-Holland
0584;Oud-Beijerland;28;Zuid-Holland
0590;Papendrecht;28;Zuid-Holland
1926;Pijnacker-Nootdorp;28;Zuid-Holland
0597;Ridderkerk;28;Zuid-Holland
0603;Rijswijk;28;Zuid-Holland
0599;Rotterdam;28;Zuid-Holland
0606;Schiedam;28;Zuid-Holland
0610;Sliedrecht;28;Zuid-Holland
0617;Strijen;28;Zuid-Holland
1525;Teylingen;28;Zuid-Holland
0622;Vlaardingen;28;Zuid-Holland
0626;Voorschoten;28;Zuid-Holland
0627;Waddinxveen;28;Zuid-Holland
0629;Wassenaar;28;Zuid-Holland
1783;Westland;28;Zuid-Holland
0614;Westvoorne;28;Zuid-Holland
0707;Zederik;28;Zuid-Holland
