Woonplaats;Woonplaats code;Mutatiedatum WPL;Einddatum WPL;Gemeente;Gemeente code;Ingangsdatum nieuwe gemeente;Gemeente beeindigd per
 't Goy;2054;;;Houten;321;;
 't Haantje;2164;;;Coevorden;109;;
 't Harde;1845;;;Elburg;230;;
 't Loo Oldebroek;3068;;;Oldebroek;269;;
 't Veld;2520;;;Niedorp;412;;01-01-2012
 't Veld;2520;;;Hollands Kroon;1911;01-01-2012;
 't Waar;1895;;;Oldambt;1895;;
 't Zand;2758;;;Zijpe;476;;
1e Exloërmond;1779;;;Borger-Odoorn;1681;;
2e Exloërmond;1780;;;Borger-Odoorn;1681;;
2e Valthermond;1781;;;Borger-Odoorn;1681;;
Aadorp;1925;;;Almelo;141;;
Aagtekerke;2774;;;Veere;717;;
Aalden;2145;;;Coevorden;109;;
Aalsmeer;2571;;;Aalsmeer;358;;
Aalsmeerderbrug;1600;;;Haarlemmermeer;394;;
Aalst;2626;;;Zaltbommel;297;;
Aalsum;3387;;;Dongeradeel;58;;
Aalten;1193;;;Aalten;197;;
Aardenburg;2961;;;Sluis;1714;;
Aarlanderveen;1079;;;Alphen aan den Rijn;484;;
Aarle-Rixtel;1445;;;Laarbeek;1659;;
Aartswoud;2788;;;Opmeer;432;;
Abbega;2400;;;Wymbritseradiel;683;;01-01-2011
Abbega;2400;;;Súdwest Fryslân;1900;01-01-2011;
Abbekerk;3147;;;Medemblik;420;;
Abbenbroek;1385;;;Bernisse;568;;
Abbenes;1608;;;Haarlemmermeer;394;;
Abcoude;1332;;;Abcoude;305;;01-01-2011
Abcoude;1332;;;De Ronde Venen;736;01-01-2011;
Achlum;1364;;;Franekeradeel;70;;
Achterveld;1063;;;Barneveld;203
Achterveld;2640;;;Leusden;327
Achthuizen;2131;;;Oostflakkee;580
Achtmaal;3493;;;Zundert;879
Acquoy;3211;01-06-2010;14-12-2011;Geldermalsen;236
Acquoy;3527;24-11-2011;;Geldermalsen;236
Adorp;2464;;;Winsum;53
Aduard;2114;;;Zuidhorn;56
Aerdenhout;2652;;;Bloemendaal;377
Aerdt;2976;;;Rijnwaarden;196
Afferden;2902;;;Druten;225
Afferden L;1122;;;Bergen (L);893
Agelo;1407;;;Dinkelland;1774
Akersloot;2267;;;Castricum;383
Akkrum;2525;;;Boarnsterhim;55
Akmarijp;2484;;;Skarsterlân;51
Albergen;1283;;;Tubbergen;183;;
Alblasserdam;2386;;;Alblasserdam;482;;
Alde Leie;3224;;;Leeuwarderadeel;81;;
Aldeboarn;2532;;;Boarnsterhim;55;;
Aldtsjerk;2441;;;Tytsjerksteradiel;737;;
