Gemeentecode;GemeentecodeGM;Gemeentenaam;Provinciecode;ProvinciecodePV;Provincienaam
1680;GM1680;Aa en Hunze;22;PV22;Drenthe
0358;GM0358;Aalsmeer;27;PV27;Noord-Holland
0197;GM0197;Aalten;25;PV25;Gelderland
0059;GM0059;Achtkarspelen;21;PV21;Fryslân
0482;GM0482;Alblasserdam;28;PV28;Zuid-Holland
0613;GM0613;Albrandswaard;28;PV28;Zuid-Holland
0361;GM0361;Alkmaar;27;PV27;Noord-Holland
0141;GM0141;Almelo;23;PV23;Overijssel
0034;GM0034;Almere;24;PV24;Flevoland
0484;GM0484;Alphen aan den Rijn;28;PV28;Zuid-Holland
1723;GM1723;Alphen-Chaam;30;PV30;Noord-Brabant
1959;GM1959;Altena;30;PV30;Noord-Brabant
0060;GM0060;Ameland;21;PV21;Fryslân
0307;GM0307;Amersfoort;26;PV26;Utrecht
0362;GM0362;Amstelveen;27;PV27;Noord-Holland
0363;GM0363;Amsterdam;27;PV27;Noord-Holland
0200;GM0200;Apeldoorn;25;PV25;Gelderland
0202;GM0202;Arnhem;25;PV25;Gelderland
0106;GM0106;Assen;22;PV22;Drenthe
0743;GM0743;Asten;30;PV30;Noord-Brabant
0744;GM0744;Baarle-Nassau;30;PV30;Noord-Brabant
0308;GM0308;Baarn;26;PV26;Utrecht
0489;GM0489;Barendrecht;28;PV28;Zuid-Holland
0203;GM0203;Barneveld;25;PV25;Gelderland
0888;GM0888;Beek;31;PV31;Limburg
1954;GM1954;Beekdaelen;31;PV31;Limburg
0370;GM0370;Beemster;27;PV27;Noord-Holland
0889;GM0889;Beesel;31;PV31;Limburg
1945;GM1945;Berg en Dal;25;PV25;Gelderland
1724;GM1724;Bergeijk;30;PV30;Noord-Brabant
0893;GM0893;Bergen (L.);31;PV31;Limburg
0373;GM0373;Bergen (NH.);27;PV27;Noord-Holland
0748;GM0748;Bergen op Zoom;30;PV30;Noord-Brabant
1859;GM1859;Berkelland;25;PV25;Gelderland
1721;GM1721;Bernheze;30;PV30;Noord-Brabant
0753;GM0753;Best;30;PV30;Noord-Brabant
0209;GM0209;Beuningen;25;PV25;Gelderland
0375;GM0375;Beverwijk;27;PV27;Noord-Holland
0310;GM0310;De Bilt;26;PV26;Utrecht
1728;GM1728;Bladel;30;PV30;Noord-Brabant
0376;GM0376;Blaricum;27;PV27;Noord-Holland
