provinciecode;provincienaam;gemeentecode;gemeentenaam;begindatum;einddatum
20;Groningen;3;Appingedam;1970-01-01;2021-01-01
20;Groningen;5;Bedum;1970-01-01;2019-01-01
20;Groningen;6;Beerta;1970-01-01;1992-01-01
20;Groningen;7;Bellingwedde;1968-01-01;2018-01-01
20;Groningen;9;Ten Boer;1970-01-01;2019-01-01
20;Groningen;10;Delfzijl;1970-01-01;2021-01-01
20;Groningen;14;Groningen;1970-01-01;
20;Groningen;15;Grootegast;1970-01-01;2019-01-01
20;Groningen;17;Haren;1970-01-01;2019-01-01
20;Groningen;18;Hoogezand-Sappemeer;1949-04-01;2018-01-01
20;Groningen;19;Hefshuizen;1979-01-01;1992-01-01
20;Groningen;22;Leek;1970-01-01;2019-01-01
20;Groningen;24;Loppersum;1970-01-01;2021-01-01
20;Groningen;25;Marum;1970-01-01;2019-01-01
20;Groningen;33;Oosterbroek;1965-07-01;1992-01-01
20;Groningen;37;Stadskanaal;1969-01-01;
20;Groningen;39;Scheemda;1970-01-01;2010-01-01
20;Groningen;40;Slochteren;1970-01-01;2018-01-01
20;Groningen;45;Ulrum;1970-01-01;1992-01-01
20;Groningen;47;Veendam;1970-01-01;
20;Groningen;48;Vlagtwedde;1970-01-01;2018-01-01
20;Groningen;52;Winschoten;1970-01-01;2010-01-01
20;Groningen;53;Winsum;1970-01-01;2019-01-01
20;Groningen;56;Zuidhorn;1970-01-01;2019-01-01
20;Groningen;765;Pekela;1990-01-01;
20;Groningen;1651;Eemsmond;1992-01-01;2019-01-01
20;Groningen;1661;Reiderland;1992-01-01;2010-01-01
20;Groningen;1663;De Marne;1992-01-01;2019-01-01
20;Groningen;1987;Menterwolde;1992-01-01;2018-01-01
20;Groningen;1895;Oldambt;2010-01-01;
20;Groningen;1950;Westerwolde;2018-01-01;
20;Groningen;1952;Midden-Groningen;2018-01-01;
20;Groningen;1966;Het Hogeland;2019-01-01;
20;Groningen;1969;Westerkwartier;2019-01-01;
20;Groningen;1979;Eemsdelta;2021-01-01;
21;Friesland;51;Skasterlân;1985-03-01;2014-01-01
21;Friesland;55;Boarnsterhim;1985-01-03;2014-01-01
21;Friesland;58;Dongeradeel;1984-01-01;2019-01-01
21;Friesland;59;Achtkarspelen;1970-01-01;
21;Friesland;60;Ameland;1970-01-01;
21;Friesland;63;het Bildt;1970-01-01;2018-01-01
21;Friesland;64;Bolsward;1970-01-01;2011-01-01
21;Friesland;65;Dantumadeel;1970-01-01;2009-01-01
21;Friesland;68;Ferwerderadeel;1970-01-01;1999-01-01
21;Friesland;70;Franekeradeel;1970-01-01;2018-01-01
21;Friesland;72;Harlingen;1970-01-01;
21;Friesland;74;Heerenveen;1934-07-01;
21;Friesland;79;Kollumerland en Nieuwkruisland;1970-01-01;2019-01-01
21;Friesland;80;Leeuwarden;1970-01-01;
21;Friesland;81;Leeuwarderadeel;1970-01-01;2018-01-01
21;Friesland;82;Lemsterland;1970-01-01;2014-01-01
21;Friesland;83;Menaldumadeel;1970-01-01;2011-01-01
21;Friesland;85;Ooststellingwerf;1970-01-01;
21;Friesland;86;Opsterland;1970-01-01;
21;Friesland;88;Schiermonnikoog;1970-01-01;
21;Friesland;90;Smallingerland;1970-01-01;
21;Friesland;91;Sneek;1970-01-01;2011-01-01
21;Friesland;93;Terschelling;1970-01-01;
21;Friesland;96;Vlieland;1970-01-01;
21;Friesland;98;Weststellingwerf;1970-01-01;
21;Friesland;104;Nijefurd;1984-01-01;2011-01-01
21;Friesland;140;Littenseradiel;1985-01-26;2018-01-01
21;Friesland;653;Gaasterlân-Sleat;1985-06-05;2014-01-01
21;Friesland;683;Wymbritseradiel;1986-01-01;2011-01-01
21;Friesland;710;Wûnseradiel;1987-01-01;2011-01-01
21;Friesland;737;Tytsjerksteradiel;1989-01-01;
21;Friesland;1722;Ferwerderadiel;1999-01-01;2019-01-01
21;Friesland;1891;Dantumadiel;2009-01-01;
21;Friesland;1900;Súdwest-Fryslân;2011-01-01;
21;Friesland;1908;Menameradiel;2011-01-01;2018-01-01
21;Friesland;1921;De Friese Meren;2014-01-01;2015-07-01
21;Friesland;1940;De Fryske Marren;2015-07-01;
21;Friesland;1949;Waadhoeke;2018-01-01;
21;Friesland;1970;Noardeast-Fryslân;2019-01-01;
22;Drenthe;105;Anloo;1970-01-01;1998-01-01
22;Drenthe;106;Assen;1970-01-01;
22;Drenthe;107;Beilen;1970-01-01;1998-01-01
22;Drenthe;108;Borger;1970-01-01;1998-01-01
22;Drenthe;109;Coevorden;1970-01-01;
