bronhouder;Type;Naam;CBScode;Vervallen;opmerking
G0003;G;Appingedam;GM0003;;
G0005;G;Bedum;GM0005;;
G0007;G;Bellingwedde;GM0007;;
G0009;G;Ten Boer;GM0009;;
G0010;G;Delfzijl;GM0010;;
G0014;G;Groningen;GM0014;;
G0015;G;Grootegast;GM0015;;
G0017;G;Haren;GM0017;;
G0018;G;Hoogezand-Sappemeer;GM0018;;
G0022;G;Leek;GM0022;;
G0024;G;Loppersum;GM0024;;
G0025;G;Marum;GM0025;;
G0034;G;Almere;GM0034;;
G0037;G;Stadskanaal;GM0037;;
G0040;G;Slochteren;GM0040;;
G0047;G;Veendam;GM0047;;
G0048;G;Vlagtwedde;GM0048;;
G0050;G;Zeewolde;GM0050;;
G0051;G;Skarsterlân;GM0051;TRUE;** vervallen per 01-01-2014
G0053;G;Winsum;GM0053;;
G0055;G;Boarnsterhim;GM0055;TRUE;** vervallen per 01-01-2014
G0056;G;Zuidhorn;GM0056;;
G0058;G;Dongeradeel;GM0058;;
G0059;G;Achtkarspelen;GM0059;;
G0060;G;Ameland;GM0060;;
G0063;G;het Bildt;GM0063;;
G0070;G;Franekeradeel;GM0070;;
G0072;G;Harlingen;GM0072;;
G0074;G;Heerenveen;GM0074;;
G0079;G;Kollumerland en Nieuwkruisland;GM0079;;
G0080;G;Leeuwarden;GM0080;;
G0081;G;Leeuwarderadeel;GM0081;;
G0082;G;Lemsterland;GM0082;TRUE;** vervallen per 01-01-2014
G0085;G;Ooststellingwerf;GM0085;;
G0086;G;Opsterland;GM0086;;
G0088;G;Schiermonnikoog;GM0088;;
G0090;G;Smallingerland;GM0090;;
G0093;G;Terschelling;GM0093;;
G0096;G;Vlieland;GM0096;;
G0098;G;Weststellingwerf;GM0098;;
G0106;G;Assen;GM0106;;
G0109;G;Coevorden;GM0109;;
G0114;G;Emmen;GM0114;;
G0118;G;Hoogeveen;GM0118;;
G0119;G;Meppel;GM0119;;
G0140;G;Littenseradiel;GM0140;;
G0141;G;Almelo;GM0141;;
G0147;G;Borne;GM0147;;
G0148;G;Dalfsen;GM0148;;
G0150;G;Deventer;GM0150;;
G0153;G;Enschede;GM0153;;
G0158;G;Haaksbergen;GM0158;;
G0160;G;Hardenberg;GM0160;;
G0163;G;Hellendoorn;GM0163;;
G0164;G;Hengelo;GM0164;;
G0166;G;Kampen;GM0166;;
G0168;G;Losser;GM0168;;
G0171;G;Noordoostpolder;GM0171;;
G0173;G;Oldenzaal;GM0173;;
G0175;G;Ommen;GM0175;;
G0177;G;Raalte;GM0177;;
G0180;G;Staphorst;GM0180;;
G0183;G;Tubbergen;GM0183;;
G0184;G;Urk;GM0184;;
G0189;G;Wierden;GM0189;;
G0193;G;Zwolle;GM0193;;
G0196;G;Rijnwaarden;GM0196;;
G0197;G;Aalten;GM0197;;
G1924;G;Goeree-Overflakkee;GM1924;TRUE;** toegevoegd per 01-01-2013
G1927;G;Molenwaard;GM1927;TRUE;** toegevoegd per 01-01-2013
G0200;G;Apeldoorn;GM0200;;
G0202;G;Arnhem;GM0202;;
G0203;G;Barneveld;GM0203;;
G0209;G;Beuningen;GM0209;;
G0213;G;Brummen;GM0213;;
G0214;G;Buren;GM0214;;
G0216;G;Culemborg;GM0216;;
G0221;G;Doesburg;GM0221;;
G0222;G;Doetinchem;GM0222;;
G0225;G;Druten;GM0225;;
G0226;G;Duiven;GM0226;;
G0228;G;Ede;GM0228;;
G0230;G;Elburg;GM0230;;
G0232;G;Epe;GM0232;;
G0233;G;Ermelo;GM0233;;
G0236;G;Geldermalsen;GM0236;;
G0241;G;Groesbeek;GM0241;TRUE;** vervallen per 01-01-2016
G0243;G;Harderwijk;GM0243;;
G0244;G;Hattem;GM0244;;
G0246;G;Heerde;GM0246;;
G0252;G;Heumen;GM0252;;
G0262;G;Lochem;GM0262;;
G0263;G;Maasdriel;GM0263;;
G0265;G;Millingen aan de Rijn;GM0265;TRUE;** vervallen per 01-01-2015
G0267;G;Nijkerk;GM0267;;
G0268;G;Nijmegen;GM0268;;
G0269;G;Oldebroek;GM0269;;
G0273;G;Putten;GM0273;;
G0274;G;Renkum;GM0274;;
G0275;G;Rheden;GM0275;;
G0277;G;Rozendaal;GM0277;;
G0279;G;Scherpenzeel;GM0279;;
G0281;G;Tiel;GM0281;;
G0282;G;Ubbergen;GM0282;TRUE;** vervallen per 01-01-2015
G0285;G;Voorst;GM0285;;
G0289;G;Wageningen;GM0289;;
G0293;G;Westervoort;GM0293;;
G0294;G;Winterswijk;GM0294;;
G0296;G;Wijchen;GM0296;;
G0297;G;Zaltbommel;GM0297;;
G0299;G;Zevenaar;GM0299;;
G0301;G;Zutphen;GM0301;;
G0302;G;Nunspeet;GM0302;;
G0303;G;Dronten;GM0303;;
G0304;G;Neerijnen;GM0304;;
G0307;G;Amersfoort;GM0307;;
G0308;G;Baarn;GM0308;;
G0310;G;De Bilt;GM0310;;
G0312;G;Bunnik;GM0312;;
G0313;G;Bunschoten;GM0313;;
G0317;G;Eemnes;GM0317;;
G0321;G;Houten;GM0321;;
G0327;G;Leusden;GM0327;;
G0331;G;Lopik;GM0331;;
G0335;G;Montfoort;GM0335;;
G0339;G;Renswoude;GM0339;;
G0340;G;Rhenen;GM0340;;
G0342;G;Soest;GM0342;;
G0344;G;Utrecht;GM0344;;
G0345;G;Veenendaal;GM0345;;
G0351;G;Woudenberg;GM0351;;
G0352;G;Wijk bij Duurstede;GM0352;;
G0353;G;IJsselstein;GM0353;;
G0355;G;Zeist;GM0355;;
G0356;G;Nieuwegein;GM0356;;
G0358;G;Aalsmeer;GM0358;;
G0361;G;Alkmaar;GM0361;;
G0362;G;Amstelveen;GM0362;;
G0363;G;Amsterdam;GM0363;;
G0365;G;Graft-De Rijp;GM0365;TRUE;** vervallen per 01-01-2015
G0370;G;Beemster;GM0370;;
G0373;G;Bergen (NH.);GM0373;;
G0375;G;Beverwijk;GM0375;;
G0376;G;Blaricum;GM0376;;
G0377;G;Bloemendaal;GM0377;;
G0381;G;Bussum;GM0381;TRUE;** vervallen per 01-01-2016
G0383;G;Castricum;GM0383;;
G0384;G;Diemen;GM0384;;
G0385;G;Edam-Volendam;GM0385;;
G0388;G;Enkhuizen;GM0388;;
G0392;G;Haarlem;GM0392;;
G0393;G;Haarlemmerliede en Spaarnwoude;GM0393;;
G0394;G;Haarlemmermeer;GM0394;;
G0395;G;Harenkarspel;GM0395;TRUE;** vervallen per 01-01-2013
G0396;G;Heemskerk;GM0396;;
G0397;G;Heemstede;GM0397;;
G0398;G;Heerhugowaard;GM0398;;
