01W Terschelling
01O Ameland-West
02W Ameland-Oost
02O Schiermonnikoog
03W Rottum
03O Eemsmond
04W Vlieland-West
04O Vlieland-Oost
05W Harlingen
05O Franeker
06W Leeuwarden
06O Kollum
07W Groningen
07O Delfzijl
08W Oldambt
09W Texel
09O Texelstroom
10W Afsluitduijk
10O Sneek
11W Heerenveen
11O Drachten
12W Assen
12O Veendam
13W Winschoten
14W Schagen
14O Hollands Kroon
15W IJsselmeer
15O Lemmer
16W Weerribben
16O Steenwijk
17W Hoogeveen
17O Emmen
18W Ter Apel
19W Alkmaar
19O Hoorn
20W Markermeer
20O Urk-Lelystad
21W Kampen
21O Zwolle
22W Ommen
22O Coevorden
23W Zwartemeer
24O Zandvoort
25W Haarlem
25O Amsterdam
26W Almere
26O Zeewolde
27W Nunspeet
27O Raalte
28W Salland
28O Hengelo
29W Denekamp
30W Scheveningen
30O Den Haag-Leiden
31W Alphen a/d Rijn
31O Utrecht
32W Amersfoort
32O Barneveld
33W Apeldoorn
33O Zutphen
34W Achterhoek
34O Enschede
35W Gronau
36O Maasvlakte-2
37W Europoort
37O Rotterdam
38W Kinderdijk
38O Vianen
39W Tiel
39O Rhenen
40W Arnhem-Nijmegen
40O Doetinchem
41W Aalten
41O Winterswijk
43W Overflakkee
43O Moerdijk
44W Biesbosch
44O Waalwijk
45W 's-Hertogenbosch
45O Oss
46W Cuijk
46O Kleve
49W Bergen op Zoom
49O Roosendaal
50W Breda
50O Tilburg
51W Veldhoven
51O Eindhoven-Helmond
52W Venray
52O Venlo
55W Hulst
55O Antwerpen
56O Turnhout
57W Bergeijk
57O Weert
58W Roermond
58O Meinweg
64W Schouwen
64O Zierikzee
65W Middelburg
65O Goes
66O Sluis
67W Oostburg
67O Terneuzen
68W Sittard-Geleen
68O Heerlen
69W Maastricht
69O Kerkrade
70O Westkapelle




