"Blad","MinX","MinY","MaxX","MaxY","Width","Height",,"ResX","ResY"
"600-71E.tif",120000,612500,130000,625000,8000,10000,,1.666666,1.666666
"600-71F.tif",130000,612500,140000,625000,8000,10000,,1.666666,1.666666
"600-71G.tif",120000,600000,130000,612500,8000,10000,,1.666666,1.666666
"600-71H.tif",130000,600000,140000,612500,8000,10000,,1.666666,1.666666
"600-01A.tif",140000,612500,150000,625000,8000,10000,,1.666666,1.666666
"600-01B.tif",150000,612500,160000,625000,8000,10000,,1.666666,1.666666
"600-01C.tif",140000,600000,150000,612500,8000,10000,,1.666666,1.666666
"600-01D.tif",150000,600000,160000,612500,8000,10000,,1.666666,1.666666
"600-01E.tif",160000,612500,170000,625000,8000,10000,,1.666666,1.666666
"600-01F.tif",170000,612500,180000,625000,8000,10000,,1.666666,1.666666
"600-01G.tif",160000,600000,170000,612500,8000,10000,,1.666666,1.666666
"600-01H.tif",170000,600000,180000,612500,8000,10000,,1.666666,1.666666
"600-02A.tif",180000,612500,190000,625000,8000,10000,,1.666666,1.666666
"600-02B.tif",190000,612500,200000,625000,8000,10000,,1.666666,1.666666
"600-02C.tif",180000,600000,190000,612500,8000,10000,,1.666666,1.666666
"600-02D.tif",190000,600000,200000,612500,8000,10000,,1.666666,1.666666
"600-02E.tif",200000,612500,210000,625000,8000,10000,,1.666666,1.666666
"600-02F.tif",210000,612500,220000,625000,8000,10000,,1.666666,1.666666
"600-02G.tif",200000,600000,210000,612500,8000,10000,,1.666666,1.666666
"600-02H.tif",210000,600000,220000,612500,8000,10000,,1.666666,1.666666
"600-03A.tif",220000,612500,230000,625000,8000,10000,,1.666666,1.666666
"600-03B.tif",230000,612500,240000,625000,8000,10000,,1.666666,1.666666
"600-03C.tif",220000,600000,230000,612500,8000,10000,,1.666666,1.666666
"600-03D.tif",230000,600000,240000,612500,8000,10000,,1.666666,1.666666
"600-03E.tif",240000,612500,250000,625000,8000,10000,,1.666666,1.666666
"600-03F.tif",250000,612500,260000,625000,8000,10000,,1.666666,1.666666
"600-03G.tif",240000,600000,250000,612500,8000,10000,,1.666666,1.666666
"600-03H.tif",250000,600000,260000,612500,8000,10000,,1.666666,1.666666
"600-78A.tif",260000,612500,270000,625000,8000,10000,,1.666666,1.666666
"600-78B.tif",270000,612500,280000,625000,8000,10000,,1.666666,1.666666
"600-78C.tif",260000,600000,270000,612500,8000,10000,,1.666666,1.666666
"600-78D.tif",270000,600000,280000,612500,8000,10000,,1.666666,1.666666
"600-04A.tif",100000,587500,110000,600000,8000,10000,,1.666666,1.666666
"600-04B.tif",110000,587500,120000,600000,8000,10000,,1.666666,1.666666
"600-04C.tif",100000,575000,110000,587500,8000,10000,,1.666666,1.666666
"600-04D.tif",110000,575000,120000,587500,8000,10000,,1.666666,1.666666
"600-04E.tif",120000,587500,130000,600000,8000,10000,,1.666666,1.666666
"600-04F.tif",130000,587500,140000,600000,8000,10000,,1.666666,1.666666
"600-04G.tif",120000,575000,130000,587500,8000,10000,,1.666666,1.666666
"600-04H.tif",130000,575000,140000,587500,8000,10000,,1.666666,1.666666
"600-05A.tif",140000,587500,150000,600000,8000,10000,,1.666666,1.666666
"600-05B.tif",150000,587500,160000,600000,8000,10000,,1.666666,1.666666
"600-05C.tif",140000,575000,150000,587500,8000,10000,,1.666666,1.666666
"600-05D.tif",150000,575000,160000,587500,8000,10000,,1.666666,1.666666
"600-05E.tif",160000,587500,170000,600000,8000,10000,,1.666666,1.666666
"600-05F.tif",170000,587500,180000,600000,8000,10000,,1.666666,1.666666
"600-05G.tif",160000,575000,170000,587500,8000,10000,,1.666666,1.666666
"600-05H.tif",170000,575000,180000,587500,8000,10000,,1.666666,1.666666
"600-06A.tif",180000,587500,190000,600000,8000,10000,,1.666666,1.666666
"600-06B.tif",190000,587500,200000,600000,8000,10000,,1.666666,1.666666
"600-06C.tif",180000,575000,190000,587500,8000,10000,,1.666666,1.666666
"600-06D.tif",190000,575000,200000,587500,8000,10000,,1.666666,1.666666
"600-06E.tif",200000,587500,210000,600000,8000,10000,,1.666666,1.666666
"600-06F.tif",210000,587500,220000,600000,8000,10000,,1.666666,1.666666
"600-06G.tif",200000,575000,210000,587500,8000,10000,,1.666666,1.666666
"600-06H.tif",210000,575000,220000,587500,8000,10000,,1.666666,1.666666
"600-07A.tif",220000,587500,230000,600000,8000,10000,,1.666666,1.666666
"600-07B.tif",230000,587500,240000,600000,8000,10000,,1.666666,1.666666
"600-07C.tif",220000,575000,230000,587500,8000,10000,,1.666666,1.666666
"600-07D.tif",230000,575000,240000,587500,8000,10000,,1.666666,1.666666
"600-07E.tif",240000,587500,250000,600000,8000,10000,,1.666666,1.666666
"600-07F.tif",250000,587500,260000,600000,8000,10000,,1.666666,1.666666
"600-07G.tif",240000,575000,250000,587500,8000,10000,,1.666666,1.666666
"600-07H.tif",250000,575000,260000,587500,8000,10000,,1.666666,1.666666
"600-08A.tif",260000,587500,270000,600000,8000,10000,,1.666666,1.666666
"600-08B.tif",270000,587500,280000,600000,8000,10000,,1.666666,1.666666
"600-08C.tif",260000,575000,270000,587500,8000,10000,,1.666666,1.666666
"600-08D.tif",270000,575000,280000,587500,8000,10000,,1.666666,1.666666
"600-09A.tif",100000,562500,110000,575000,8000,10000,,1.666666,1.666666
"600-09B.tif",110000,562500,120000,575000,8000,10000,,1.666666,1.666666
"600-09C.tif",100000,550000,110000,562500,8000,10000,,1.666666,1.666666
"600-09D.tif",110000,550000,120000,562500,8000,10000,,1.666666,1.666666
"600-09E.tif",120000,562500,130000,575000,8000,10000,,1.666666,1.666666
"600-09F.tif",130000,562500,140000,575000,8000,10000,,1.666666,1.666666
"600-09G.tif",120000,550000,130000,562500,8000,10000,,1.666666,1.666666
"600-09H.tif",130000,550000,140000,562500,8000,10000,,1.666666,1.666666
"600-10A.tif",140000,562500,150000,575000,8000,10000,,1.666666,1.666666
"600-10B.tif",150000,562500,160000,575000,8000,10000,,1.666666,1.666666
"600-10C.tif",140000,550000,150000,562500,8000,10000,,1.666666,1.666666
"600-10D.tif",150000,550000,160000,562500,8000,10000,,1.666666,1.666666
"600-10E.tif",160000,562500,170000,575000,8000,10000,,1.666666,1.666666
"600-10F.tif",170000,562500,180000,575000,8000,10000,,1.666666,1.666666
"600-10G.tif",160000,550000,170000,562500,8000,10000,,1.666666,1.666666
"600-10H.tif",170000,550000,180000,562500,8000,10000,,1.666666,1.666666
"600-11A.tif",180000,562500,190000,575000,8000,10000,,1.666666,1.666666
"600-11B.tif",190000,562500,200000,575000,8000,10000,,1.666666,1.666666
"600-11C.tif",180000,550000,190000,562500,8000,10000,,1.666666,1.666666
"600-11D.tif",190000,550000,200000,562500,8000,10000,,1.666666,1.666666
"600-11E.tif",200000,562500,210000,575000,8000,10000,,1.666666,1.666666
"600-11F.tif",210000,562500,220000,575000,8000,10000,,1.666666,1.666666
"600-11G.tif",200000,550000,210000,562500,8000,10000,,1.666666,1.666666
"600-11H.tif",210000,550000,220000,562500,8000,10000,,1.666666,1.666666
"600-12A.tif",220000,562500,230000,575000,8000,10000,,1.666666,1.666666
"600-12B.tif",230000,562500,240000,575000,8000,10000,,1.666666,1.666666
"600-12C.tif",220000,550000,230000,562500,8000,10000,,1.666666,1.666666
"600-12D.tif",230000,550000,240000,562500,8000,10000,,1.666666,1.666666
"600-12E.tif",240000,562500,250000,575000,8000,10000,,1.666666,1.666666
"600-12F.tif",250000,562500,260000,575000,8000,10000,,1.666666,1.666666
"600-12G.tif",240000,550000,250000,562500,8000,10000,,1.666666,1.666666
"600-12H.tif",250000,550000,260000,562500,8000,10000,,1.666666,1.666666
"600-13A.tif",260000,562500,270000,575000,8000,10000,,1.666666,1.666666
"600-13B.tif",270000,562500,280000,575000,8000,10000,,1.666666,1.666666
"600-13C.tif",260000,550000,270000,562500,8000,10000,,1.666666,1.666666
"600-13D.tif",270000,550000,280000,562500,8000,10000,,1.666666,1.666666
"600-73E.tif",80000,537500,90000,550000,8000,10000,,1.666666,1.666666
"600-73F.tif",90000,537500,100000,550000,8000,10000,,1.666666,1.666666
"600-73G.tif",80000,525000,90000,537500,8000,10000,,1.666666,1.666666
"600-73H.tif",90000,525000,100000,537500,8000,10000,,1.666666,1.666666
"600-14A.tif",100000,537500,110000,550000,8000,10000,,1.666666,1.666666
"600-14B.tif",110000,537500,120000,550000,8000,10000,,1.666666,1.666666
"600-14C.tif",100000,525000,110000,537500,8000,10000,,1.666666,1.666666
"600-14D.tif",110000,525000,120000,537500,8000,10000,,1.666666,1.666666
"600-14E.tif",120000,537500,130000,550000,8000,10000,,1.666666,1.666666
"600-14F.tif",130000,537500,140000,550000,8000,10000,,1.666666,1.666666
"600-14G.tif",120000,525000,130000,537500,8000,10000,,1.666666,1.666666
"600-14H.tif",130000,525000,140000,537500,8000,10000,,1.666666,1.666666
"600-15A.tif",140000,537500,150000,550000,8000,10000,,1.666666,1.666666
"600-15B.tif",150000,537500,160000,550000,8000,10000,,1.666666,1.666666
"600-15C.tif",140000,525000,150000,537500,8000,10000,,1.666666,1.666666
"600-15D.tif",150000,525000,160000,537500,8000,10000,,1.666666,1.666666
"600-15E.tif",160000,537500,170000,550000,8000,10000,,1.666666,1.666666
"600-15F.tif",170000,537500,180000,550000,8000,10000,,1.666666,1.666666
"600-15G.tif",160000,525000,170000,537500,8000,10000,,1.666666,1.666666
"600-15H.tif",170000,525000,180000,537500,8000,10000,,1.666666,1.666666
"600-16A.tif",180000,537500,190000,550000,8000,10000,,1.666666,1.666666
"600-16B.tif",190000,537500,200000,550000,8000,10000,,1.666666,1.666666
